label,cat
Glasses,clothing_apparel
Smile,physicaltrait_body
Flag_of_the_united_states,other
Sleeve,clothing_apparel
Gesture,physicaltrait_body 
Flag,other
Collar,clothing_apparel
Blazer,clothing_apparel
Eyewear,clothing_apparel
Spokesperson,occupation
Flag_Day_(USA),other
Event,other
Official,color_adjective
Military_person,occupation
Electric_blue,color_adjective
Happy,color_adjective
Cap,clothing_apparel
White-collar_worker,occupation
Formal_wear,clothing_apparel
Suit,clothing_apparel
Uniform,clothing_apparel
Hat,clothing_apparel
Job,occupation
Military_officer,occupation
Costume_hat,clothing_apparel
Flash_photography,other
Jewellery,clothing_apparel
Wrinkle,clothing_apparel
Necklace,clothing_apparel
Portrait_photography,other
Sky,other
Neck,physicaltrait_body
Pantsuit,clothing_apparel
Serveware,other
Sitting,color_adjective
Button,clothing_apparel
Pottery,other
Dress_shirt,clothing_apparel
Clay,other
Business,color_adjective
Thumb,physicaltrait_body
Layered_hair,physicaltrait_body
Employment,occupation
Chin,physicaltrait_body
Throat,physicaltrait_body
Pleased,color_adjective
Businessperson,occupation
Hair,physicaltrait_body
Face,physicaltrait_body
Head,physicaltrait_body
Coat,clothing_apparel
Speech,other
Blond,physicaltrait_body
Public_speaking,other
Forehead,physicaltrait_body
Cheek,physicaltrait_body
Outerwear,clothing_apparel
Eyebrow,physicaltrait_body
Wings,other
Bangs,physicaltrait_body
Makeover,clothing_apparel
Pixie_cut,physicaltrait_body
Portrait,other
Laugh,physicaltrait_body
Waist,physicaltrait_body
Fashion_design,clothing_apparel
Fashion_accessory,clothing_apparel
Denim,clothing_apparel
Top,clothing_apparel
Lipstick,clothing_apparel
Jheri_curl,physicaltrait_body
Earrings,clothing_apparel
Cosmetic_dentistry,physicaltrait_body
Body_piercing,clothing_apparel
Embellishment,clothing_apparel
Lip,physicaltrait_body
Body_jewelry,clothing_apparel
Magenta,color_adjective
Blue,color_adjective
Clothing,clothing_apparel
Television_presenter,other
Eyelash,physicaltrait_body
Brown_hair,physicaltrait_body
Hair_coloring,physicaltrait_body
T-shirt,clothing_apparel
Jaw,physicaltrait_body
Iris,physicaltrait_body
Dress,clothing_apparel
Black_hair,physicaltrait_body
Long_hair,physicaltrait_body
Woolen,color_adjective
Eye,physicaltrait_body
Cumulus,other
Pattern,other
Holiday,occupation
Facial_expression,physicaltrait_body
Curtain,other
Government_agency,occupation
Crop,physicaltrait_body
Bouffant,color_adjective
Feathered_hair,physicaltrait_body
Ringlet,physicaltrait_body
Tree,other
Fun,other
Grass,other
Step_cutting,physicaltrait_body
Microphone,other
Government,occupation
Organ,physicaltrait_body
People,other
Military_rank,occupation
Vision_care,clothing_apparel
Sun_hat,clothing_apparel
Headgear,clothing_apparel
Fedora,clothing_apparel
Cowboy_hat,clothing_apparel
Tradition,other
Memorial_day,other
Elder,color_adjective
Picture_frame,other
Cloud,other
Nose,physicaltrait_body
Skin,physicaltrait_body
Non-commissioned_officer,occupation
Military_uniform,clothing_apparel
Vintage_clothing,clothing_apparel
Hairstyle,physicaltrait_body
Red,color_adjective
Beauty,physicaltrait_body
Mouth,physicaltrait_body
Human_body,physicaltrait_body
Ear,physicaltrait_body
Surfer_hair,physicaltrait_body
Human,other
Art,other
Wig,physicaltrait_body
Lace_wig,physicaltrait_body
Bookcase,other
Shelf,other
Publication,other
Book,other
Shelving,other
Librarian,occupation
Audio_equipment,other
Natural_material,other
Peach,other
Bridal_accessory,clothing_apparel
Wool,clothing_apparel
Day_dress,clothing_apparel
Standing,color_adjective
Fur,clothing_apparel
Orator,occupation
Belt,clothing_apparel
Tooth,physicaltrait_body
Moustache,physicaltrait_body
Facial_hair,physicaltrait_body
Humour,other
Music_artist,occupation
Chest,physicaltrait_body
Abdomen,physicaltrait_body
Sportswear,clothing_apparel
Travel,other
Gas,other
Tie,clothing_apparel
Caesar_cut,physicaltrait_body
Pocket,clothing_apparel
Suit_trousers,clothing_apparel
Varnish,other
Tuxedo,clothing_apparel
Colonel,occupation
Beard,physicaltrait_body
Management,occupation
Shirt,clothing_apparel
Organization,occupation
Crew_cut,physicaltrait_body
Comb_over,physicaltrait_body
Speaker,occupation
Arm,physicaltrait_body
Window,other
Fixture,other
No_expression,physicaltrait_body
Daytime,other
City,other
Street,other
Vacation,occupation
News,other
Vertebrate,other
Mammal,other
Plant,other
Soil,other
Paint,other
Watch,clothing_apparel
Table,other
Wood,other
Wrist,physicaltrait_body
Cuff,clothing_apparel
Composite_material,other
Building,other
Lawyer,occupation
Adaptation,other
Finial,color_adjective
Tourism,other
Painting,other
Dome,other
Property,other
Tower,other
Leisure,occupation
Photograph,occupation
Bow_tie,clothing_apparel
Logo,other
